ID;English;Chinese Simplified;Chinese Traditional;Czech;Danish;German;Greek;Finnish;French;Indonesian;Italian;Japanese;Korean;Dutch;Norwegian;Polish;Portugese;Spanish;Swedish;Tagalog
1200000394;Arvad;亚瓦底;亞瓦底;ARVAD;ARVAD;Arwad;ΑΡΒΑΔ;Arvad;Arvad;ARWAD;Arvad;アルワド;아르왓;ARVAD;ARVAD;ARWAD;Arvade;ARVAD;ARVAD;ARVAD
1200000395;Arvadite;亚瓦底人;亞瓦底人;ARVAĎAN;ARVADIT;Arwaditer;ΑΡΒΑΔΙΤΗΣ;Arvadilainen;Arvadite;ARWAD, ORANG;Arvadeo;アルワド人;아르왓 사람;ARVADIET;ARVADITT;ARWADYTA;Arvadeu;ARVADEO;ARVADÉER;ARVADITA
1200000396;Arza;亚察;亞察;ARCA;ARZA;Arza;ΑΡΖΑ;Arsa;Artsa;ARZA;Arza;アルツァ;아르사;ARZA;ARSA;ARCA;Arza;ARZÁ;ARSA;ARZA
1200000397;Asa;亚撒;亞撒;ASA;ASA;Asa;ΑΣΑ;Asa;Asa;ASA;Asa;アサ;아사;ASA;ASA;ASA;Asa;ASÁ;ASA;ASA
1200000398;Asahel;亚撒黑;亞撒黑;ASAHEL;ASAEL;Asahel;ΑΣΑΗΛ;Asael;Asahel;ASAHEL;Asael;アサエル;아사헬;ASAËL;ASAEL;ASAHEL;Asael;ASAHEL;ASAEL;ASAHEL
1200000399;Asaiah;亚撒雅;亞撒雅;ASAJÁŠ;ASAJA;Asaja;ΑΣΑΪΑΣ;Asaja;Asaïa;ASAYA;Asaia;アサヤ;아사야;ASAJA;ASAJA;ASAJASZ;Asaías;ASAYA;ASAJA;ASAIAS
1200000400;Asaph;亚萨;亞薩;ASAF;ASAF;Asaph;ΑΣΑΦ;Asaf;Asaph;ASAF;Asaf;アサフ;아삽;ASAF;ASAF;ASAF;Asafe;ASAF;ASAF;ASAP
1200000401;Asarel;亚撒列;亞撒列;ASAREL;ASAREL;Asarel;ΑΣΑΡΗΛ;;Asarel;ASAREL;Asarel;アサルエル;아사렐;ASAREËL;ASAREL;ASAREL;Asarel;ASAREL;ASAREL;ASAREL
1200000402;Ascension;升天;升天;NANEBEVSTOUPENÍ;HIMMELFART;Himmelfahrt;ΑΝΑΛΗΨΗ;Taivaaseennouseminen;Ascension;KENAIKAN;Ascensione;昇天;승천;HEMELVAART;KRISTI HIMMELFART;WNIEBOWSTĄPIENIE;Ascensão;ASCENSIÓN;JESU HIMMELSFÄRD;PAG-AKYAT SA LANGIT
1200000403;Ascents;登城的歌;登城的歌;VÝSTUPY;VALFARTSSANGE;Aufstiege;ΑΝΑΒΑΣΕΙΣ;Nousujen laulut;Montées;PENDAKIAN;Ascese;登って行くとき;올라갈 때의 노래;OPGANGEN;OPPSTIGNINGENE;PIEŚŃ WSTĘPOWAŃ;Subidas;SUBIDAS, LAS;VALLFARTSSÅNG;PAGSAMPA
1200000404;Asenappar;亚斯那巴;亞斯那巴;ASENAPPAR;ASENAPPAR;Asenappar;ΑΣΕΝΑΦΑΡ;Asenappar;Asnappar;ASENAPAR;Asenappar;アセナパル;아스납발;ASNAPPAR;ASENAPPAR;ASENAPPAR;Asenapar;ASNAPAR;ASENAPPAR;ASENAPAR
1200000405;Asenath;亚西娜;亞西娜;ASENAT;ASENAT;Asenath;ΑΣΕΝΕΘ;Asenat;Asnath;ASENAT;Asenat;アセナト;아스낫;ASNATH;ASENAT;ASENAT;Asenate;ASENAT;ASENAT;ASENAT
1200000406;Ash;白蜡树;白蠟樹;JASAN;ASK;Esche;ΜΕΛΙΑ;Saarni;Frêne;AS, POHON;Frassino;とねりこ;물푸레나무;ES;ASK;JESION;Freixo;FRESNO;ASK;FRESNO
1200000407;Ashan;亚珊;亞珊;AŠAN;ASJAN;Aschan;ΑΣΑΝ;Asan;Ashân;ASYAN;Asan;アシャン;아산;ASAN;ASJAN;ASZAN;Asã;ASÁN;ASAN;ASAN
1200000408;Asharelah;雅萨利拉;雅薩利拉;AŠARELA;ASAR’ELA;Ascharela;ΑΣΑΡΗΛΑ;Asarela;Asharéla;ASYARELA;Asarela;アシャルエラ;아사렐라;ASARELA;ASARELA;ASARELA;Asarelá;ASARELÁ;ASARELA;ASARELA
1200000409;Ashbea;亚实比;亞實比;AŠBEA;ASJBEA;Aschbea;ΑΣΒΕΑ;Asbea;Ashbéa;ASBEA;Asbea;アシュベア;아스베아;ASBEA;ASJBEA;ASZBEA;Asbéia;ASBEA;ASBEA;ASBEA
1200000410;Ashbel;亚实别;亞實别;AŠBEL, AŠBELOVCI;ASJBEL;Aschbel;ΑΣΒΗΛ;Asbel, asbelilaiset;Ashbel, Ashbélites;ASBEL;Asbel;アシュベル，アシュベル人;아스벨;ASBEL;ASJBEL;ASZBEL, ASZBELICI;Asbel, asbelitas;ASBEL, ASBELITAS;ASBEL;ASBEL, MGA ASBELITA
1200000411;Ash Constellation;艾舒星座;艾舒星座;SOUHVĚZDÍ AŠE;ASJ;Asch-Sternbild;ΑΣ, ΑΣΤΕΡΙΣΜΟΣ;As-tähdistö;Constellation d’Ash;AS, KONSTELASI BINTANG;As;アシ星座;아시 별자리;ASJ, STERRENBEELD;ASJ;ASZ, GWIAZDOZBIÓR;Ás, Constelação de;CONSTELACIÓN ASH;ASH;ASH, KONSTELASYON NG
1200000412;Ashdod;亚实突;亞實突;AŠDOD;ASDOD;Aschdod;ΑΖΩΤΟΣ;Asdod;Ashdod;ASDOD;Asdod;アシュドド;아스돗;ASDOD;ASJDOD;ASZDOD;Asdode;ASDOD;ASHDOD;ASDOD
1200000413;Ashdodite;亚实突人;亞實突人;AŠDOĎAN;ASDODIT;Aschdoditer;ΑΖΩΤΙΟΣ;Asdodilainen;Ashdodite;ASDOD, ORANG;Asdoditi;アシュドド人;아스돗 사람;ASDODIET;ASJDODITT;ASZDODYTA;Asdodita;ASDODITA;ASHDODITER;ASDODITA
1200000414;Asher;亚设;亞設;AŠER;ASER;Ascher;ΑΣΗΡ;Asser;Asher;ASYER;Aser;アシェル;아셀;ASER;ASJER;ASZER;Aser;ASER;ASER;ASER
1200000415;Asherah;亚舍拉;亞舍拉;AŠERA;ASJERA;Aschera;ΑΣΕΡΑΧ;Asera;Ashéra;ASYERA;Asherah;アシェラ;아세라;ASJERA;ASJERA;ASZERA;Axerá;ASERÁ;ASHERA;ASERA
1200000416;Asherite;亚设人;亞設人;AŠEROVEC;ASERIT;Ascheriter;ΑΣΗΡΙΤΗΣ;Asserilainen;Ashérite;ASYER, ORANG;Aseriti;アシェル人;아셀 사람;ASERIET;ASJERITT;ASZERYTA;Aserita;ASERITA;ASERIT;ASERITA
1200000417;Ashes;灰;灰;POPEL;ASKE;Asche;ΣΤΑΧΤΗ;Tuhka;Cendre;ABU;Cenere;灰;재;AS;ASKE;POPIÓŁ;Cinzas;CENIZAS;ASKA;ABO
1200000418;Ash-heaps, Gate of the;灰堆门;灰堆門;BRÁNA HROMAD POPELA;ASKEDYNGEPORTEN;Aschenhaufentor;;Tuhkakasojenportti;;;;灰の山の門;잿더미 문;ASPOORT;ASKEHAUGPORTEN;POPIELISK, BRAMA;Cinzas, Porta dos montes de;MONTONES DE CENIZA, PUERTA DE LOS;ASKHÖGSPORTEN;BUNTON NG ABO, PINTUANG-DAAN NG MGA
1200000419;Ashhur;亚施户;亞施户;AŠCHUR;ASJHUR;Aschhur;ΑΣΧΟΥΡ;Ashur;Ashhour;ASHUR;Asur;アシュフル;아스훌;ASHUR;ASJHUR;ASZCHUR;Assur;ASJUR;ASHUR;ASHUR
1200000420;Ashima;亚示玛;亞示瑪;AŠIMA;ASJIMA;Aschima;ΑΣΙΜΑ;Asima;Ashima;ASYIMA;Asima;アシマ;아시마;ASIMA;ASJIMA;ASZIMA;Asima;ASIMÁ;ASIMA;ASIMA
1200000421;Ashkelon;亚实基伦;亞實基倫;AŠKALON;ASKALON;Askalon;ΑΣΚΑΛΩΝ;Askelon;Ashqelôn;ASKELON;Ascalon;アシュケロン;아스글론;ASKELON;ASJKALON;ASZKELON;Ascalom;ASQUELÓN;ASHKELON;ASKELON
1200000422;Ashkelonite;亚实基伦人;亞實基倫人;AŠKALOŇAN;ASKALONIT;Askaloniter;ΑΣΚΑΛΩΝΙΤΗΣ;Askelonilainen;Ashqelonite;;Ascaloniti;アシュケロン人;아스글론 사람;ASKELONIET;ASJKALONITT;ASZKELONITA;Ascalonita;ASQUELONITA;ASHKELONITER;ASKELONITA
1200000423;Ashkenaz;亚实基拿;亞實基拿;AŠKENAZ;ASJKENAZ;Aschkenas;ΑΣΚΕΝΑΖ;Askenas;Ashkenaz;ASKENAZ;Aschenaz;アシュケナズ;아스그나스;ASKENAZ;ASJKENAS;ASZKENAZ;Asquenaz;ASKENAZ;ASKENAS;ASKENAZ
1200000424;Ashnah;亚实拿;亞實拿;AŠNA;ASJNA;Aschna;ΑΣΝΑ;Asna;Ashna;;;アシュナ;아스나;ASNA;ASJNA;ASZNA;Asná;ASNAH;ASHNA;ASNA
1200000425;Ashpenaz;亚施比拿;亞施比拿;AŠPENAZ;ASJPENAZ;Aschpenas;ΑΣΦΕΝΑΖ;Aspenas;Ashpenaz;ASPENAZ;Aspenaz;アシュペナズ;아스브나스;ASPENAZ;ASJPENAS;ASZPENAZ;Aspenaz;ASPENAZ;ASPENAS;ASPENAZ
1200000426;Ashtaroth;亚斯他罗;亞斯他羅;AŠTAROT;ASJTAROT;Aschtaroth;ΑΣΤΑΡΩΘ;Astarot;Ashtaroth;ASTAROT;Astarot;アシュタロテ;아스다롯;ASTAROTH;ASJTAROT;ASZTAROT;Astarote;ASTAROT;ASHTAROT;ASTAROT
1200000427;Ashterathite;亚斯他罗人;亞斯他羅人;AŠTERAŤAN;ASJTERATIT;Aschtarothiter;ΑΣΤΕΡΑΘΙΤΗΣ;Astarotilainen;Ashterathite;ASTAROT, ORANG;Asteratita;アシュタロテ人;아스드랏 사람;ASTERATHIET;ASJTERATITT;ASZTERATYTA;Asteratita;ASTERATITA;ASHTAROTIT;ASTERATITA
1200000428;Ashteroth-karnaim;亚斯他罗加宁;亞斯他羅加寧;AŠTEROT-KARNAJIM;ASJTEROT-KARNAJIM;Aschteroth-Karnajim;ΑΣΤΕΡΩΘ‐ΚΑΡΝΑΪΜ;Asterot-Karnaim;Ashteroth-Qarnaïm;ASTEROT-KARNAIM;Asterot-Carnaim;アシュテロト･カルナイム;아스드롯-가르나임;ASTEROTH-KARNAÏM;ASJTEROT-KARNAJIM;ASZTEROT-KARNAIM;Asterote-Carnaim;ASTEROT-QARNAIM;ASHTEROT-KARNAJIM;ASTEROT-KARNAIM
1200000429;Ashtoreth;亚斯他禄;亞斯他祿;AŠTORET;ASTARTE;Aschtoret;ΑΣΤΟΡΕΘ;Astoret;Ashtoreth;ASTORET;Astoret;アシュトレテ;아스도렛;ASTORETH;ASJTORET;ASZTARTE;Astorete;ASTORET;ASHTORET;ASTORET
1200000430;Ashurbanipal;亚述巴尼拔;亞述巴尼拔;AŠŠURBANIPAL;ASSURBANIPAL;Assurbanipal;ΑΣΣΟΥΡΜΠΑΝΙΠΑΛ;Assurbanipal;Assourbanipal;ASYURBANIPAL;Assurbanipal;アシュルバニパル;아슈르바니팔;ASSURBANIPAL;ASSURBANIPAL;ASURBANIPAL;Assurbanipal;ASURBANIPAL;ASSURBANIPAL;ASHURBANIPAL
1200000431;Ashurite;亚书利人;亞書利人;AŠUROVEC;ASJURITTER;Aschuriter;ΑΣΟΥΡΙΤΕΣ;Asurilaiset;Ashourite;ASYUR, ORANG;Asuriti;アシュル人;아술 사람;ASCHURIET;ASJURITTER;ASZURYCI;Asurita;ASURITA;ASURÉER;ASHURITA
1200000432;Ashvath;亚施法;亞施法;AŠVAT;ASJVAT;Aschwath;ΑΣΒΑΘ;Asvat;Ashvath;ASWAT;Asvat;アシュワト;아스왓;ASVATH;ASJVAT;ASZWAT;Asvate;ASVAT;ASVAT;ASVAT
1200000433;Asia;亚细亚;亞細亞;ASIE;ASIEN;Asien;ΑΣΙΑ;Aasia;Asie;ASIA;Asia;アジア;아시아;ASIA;ASIA;AZJA;Ásia;ASIA;ASIA;ASIA
1200000434;Asiel;亚薛;亞薛;ASIEL;ASIEL;Asiel;ΑΣΙΗΛ;Asieel;Asiël;ASIEL;Asiel;アシエル;아시엘;ASIËL;ASIEL;ASJEL;Asiel;ASIEL;ASIEL;ASIEL
1200000435;Asnah;亚斯拿;亞斯拿;ASNA;ASNA;Asna;ΑΣΕΝΑ;Asnaa;Asna;ASNA;Asna;アスナ;아쓰나;;ASNA;ASNA;;ASNÁ;ASNA;ASENA
1200000436;Asp;;;;;Natter;ΑΣΠΙΔΑ, 2;Aspiskäärme;Aspic;ULAR KECIL YANG BERBISA;Aspide;毒へび;독뱀;;;;Áspide;ÁSPID;;ASPID
1200000437;Aspatha;亚斯帕他;亞斯帕他;ASPATA;ASPATA;Aspatha;ΑΣΠΑΘΑ;Aspata;Aspatha;ASPATA;Aspata;アスパタ;아스바다;ASPATHA;ASPATA;ASPATA;Aspata;ASPATÁ;ASPATA;ASPATA
1200000438;Asriel;亚斯烈;亞斯烈;ASRIEL;ASRIEL;Asriel;ΑΣΡΙΗΛ;Asriel;Asriël;ASRIEL;Asriel;アスリエル;아스리엘;ASRIËL;ASRIEL;ASRIEL;Asriel;ASRIEL;ASRIEL;ASRIEL
1200000439;Asrielites;亚斯烈人;亞斯烈人;ASRIELOVCI;ASRIELITTER;Asrieliter;ΑΣΡΙΗΛΙΤΕΣ;Asrielilaiset;Asriélites;ASRIEL, KETURUNAN;Asrieliti;アスリエル人;아스리엘 사람들;ASRIËLIETEN;ASRIELITTER;ASRIELICI;Asrielitas;ASRIELITAS;ASRIELITER;ASRIELITA, MGA
1200000440;Ass;驴;驢;OSEL;ÆSEL;Esel;ΓΑΪΔΟΥΡΙ;Aasi;Âne;KELEDAI;Asino;ろば;나귀;EZEL;ESEL;OSIOŁ;Jumento;ASNO;ÅSNA;ASNO
1200000441;Assembly;集会，会众;集會，會衆;SHROMÁŽDĚNÍ;FORSAMLING;Gemeinde, Versammlung;ΣΥΝΑΞΗ;Kokous;Assemblée;HIMPUNAN;Assemblea;集会;회, 모임, 무리;VERGADERING;FORSAMLING, SAMLING;ZGROMADZENIE;Assembléia;ASAMBLEA;MENIGHET, FÖRSAMLAD SKARA;KAPULUNGAN
1200000442;Asshur;阿舒尔;阿舒爾;AŠŠUR;ASSUR;Assur;ΑΣΣΟΥΡ;Assur;Ashour;ASSYUR;Assur;アシュル;앗수르;ASSUR;ASSJUR;ASZSZUR;Assur, II;ASUR;ASSUR;ASUR
1200000443;Asshurim;亚舒利人;亞舒利人;AŠŠURIM;ASSJURIM;Aschurim;ΑΣΣΟΥΡΙΜ;Assurim;Ashourim;ASSYURIM;Assurim;アシュリム;앗수림;ASSURIM;ASSJURIM;ASZSZURIM;Assurins;ASURIM;ASSURIM;ASURIM, MGA
1200000444;Assir;亚惜;亞惜;ASSIR;ASSIR;Assir;ΑΣΣΙΡ;Assir;Assir;ASIR;Assir;アシル;앗실;ASSIR;ASSIR;ASSIR;Assir;ASIR;ASSIR;ASIR
1200000445;Association;交往;交往;SPOLEČENSTVÍ;SELSKAB;Gesellschaft, Umgang;ΣΥΝΑΝΑΣΤΡΟΦΗ;Seura;Compagnies;PERGAULAN;Compagnie, Associazione;交わり，仲間;교제, 연합;OMGANG;OMGANG;TOWARZYSTWO;Associação;COMPAÑÍAS;UMGÄNGE;KASAMA
1200000446;Assos;阿索斯;阿索斯;ASSOS;ASSOS;Assos;ΑΣΣΟΣ;Assos;Assos;ASOS;Asso;アソス;앗소;ASSUS;ASSOS;ASSOS;Assos;ASÓN;ASSOS;ASOS
1200000447;Assyria;亚述;亞述;ASÝRIE;ASSYRIEN;Assyrien;ΑΣΣΥΡΙΑ;Assyria;Assyrie;ASIRIA;Assiria;アッシリア;아시리아;ASSYRIË;ASSYRIA;ASYRIA;Assíria;ASIRIA;ASSYRIEN;ASIRYA
1200000448;Astrologers;占星术士;占星術士;ASTROLOGOVÉ;ASTROLOGER;Astrologen;ΑΣΤΡΟΛΟΓΟΙ;Tähdistäennustajat;Astrologues;AHLI NUJUM;Astrologi;占星術者;점성술사;ASTROLOGEN;ASTROLOGER;ASTROLODZY;Astrólogos;ASTRÓLOGOS;ASTROLOGER;ASTROLOGO
1200000449;Asyncritus;亚逊其图;亞遜其圖;ASYNKRITUS;ASYNKRITUS;Asynkritus;ΑΣΥΓΚΡΙΤΟΣ;Asynkritos;Asyncrite;ASINKRITUS;Asincrito;アスンクリト;아순그리도;ASYNKRITUS;ASYNKRITOS;ASYNKRYT;Asíncrito;ASÍNCRITO;ASYNKRITOS;ASINCRITO
1200000450;Atad;阿达;阿達;ATAD;ATAD;Atad;ΑΤΑΔ;Atad;Atad;ATAD;Atad;アタド;아닷;ATAD;ATADS TRESKEPLASS;ATAD;Atade;ATAD;ATAD;ATAD
1200000451;Atarah;亚塔拉;亞塔拉;ATARA;ATARA;Atara;ΑΤΑΡΑ;Atara;Atara;ATARA;Atara;アタラ;아다라;ATARA;ATARA;ATARA;Atara;ATARÁ;ATARA;ATARA
1200000452;Ataroth;亚塔罗;亞塔羅;ATAROT;ATAROT;Ataroth;ΑΤΑΡΩΘ;Atarot;Ataroth;ATAROT;Atarot;アタロト;아다롯;ATAROTH;ATAROT;ATAROT;Atarote;ATAROT;ATAROT;ATAROT
1200000453;Ataroth-addar;亚塔罗亚达珥;亞塔羅亞達珥;ATAROT-ADDAR;ATAROT-ADDAR;Atroth-Addar;ΑΤΑΡΩΘ‐ΑΔΔΑΡ;Atrot-Addar;Ataroth-Addar;ATAROT-ADAR;Atarot-Addar;アタロト･アダル;아다롯-앗달;ATAROTH-ADDAR;ATAROT-ADDAR;ATAROT-ADDAR;Atarote-Adar;ATAROT-ADDAR;ATROT-ADDAR;ATAROT-ADDAR
1200000454;Ater;亚特;亞特;ATER;ATER;Ater;ΑΤΗΡ;Ater;Ater;ATER;Ater;アテル;아델;ATER;ATER;ATER;Ater;ATER;ATER;ATER
1200000455;Athach;亚塔;亞塔;ATAK;ATAK;Athach;ΑΤΑΧ;Atak;Athak;ATAKH;Atac;アタク;아닥;ATHACH;ATAK;ATACH;Ataque;ATAC;ATAK;ATAC
1200000456;Athaiah;亚他雅;亞他雅;ATAJÁŠ;ATAJA;Athaja;ΑΘΑΪΑΣ;Ataja;Athaïa;ATAYA;Ataia;アタヤ;아타야;ATHAJA;ATAJA;ATAJASZ;Ataías;ATAYA;ATAJA;ATAIAS
1200000457;Athaliah;亚他利雅;亞他利雅;ATALJA;ATALJA;Athalja;ΓΟΘΟΛΙΑ;Atalja;Athalie;ATALIA;Atalia;アタリヤ;아달랴;ATHALIA;ATALJA;ATALIA;Atalia;ATALÍA;ATALJA;ATHALIA
1200000458;Atharim;亚他临;亞他臨;ATARIM;ATARIM;Atharim;ΑΘΑΡΙΜ;Atarim;Atharim;ATARIM;Atarim;アタリム;아다림;ATHARIM;ATARIM-VEIEN;ATARIM;Atarim;ATARIM;ATARIMVÄGEN;ATARIM
1200000459;Athens;雅典;雅典;ATÉNY;ATHEN;Athen;ΑΘΗΝΑ;Ateena;Athènes;ATHENA;Atene;アテネ;아테네;ATHENE;ATEN;ATENY;Atenas;ATENAS;ATHEN;ATENAS
1200000460;Athlai;亚勒;亞勒;ATLAI;ATLAJ;Athlai;ΑΘΛΑΪ;Atlai;Athlaï;ATLAI;Atlai;アトライ;아틀래;ATHLAI;ATLAI;ATLAJ;Atlai;ATLAI;ATLAJ;ATLAI
1200000461;Atonement;赎罪;贖罪;SMÍŘENÍ;SONING;Sühne;ΕΞΙΛΕΩΣΗ;Sovitus;Propitiation;PENDAMAIAN;Espiazione;贖罪;속죄;VERZOENING;SONING;PRZEBŁAGANIE;Expiação;EXPIACIÓN;FÖRSONING;PAGBABAYAD-SALA
1200000462;Atonement Day;赎罪日;贖罪日;DEN SMÍŘENÍ;FORSONINGSDAGEN;Sühnetag;ΗΜΕΡΑ ΤΗΣ ΕΞΙΛΕΩΣΗΣ;Sovituspäivä;Jour des Propitiations;PENDAMAIAN, HARI;Giorno di espiazione;贖罪の日;속죄일;VERZOENDAG;SONINGSDAGEN;DZIEŃ PRZEBŁAGANIA;Expiação, Dia da;DÍA DE EXPIACIÓN;FÖRSONINGSDAGEN;PAGBABAYAD-SALA, ARAW NG
1200000463;Atroth-beth-joab;亚他罗伯约押;亞他羅伯約押;ATROT-BET-JOAB;ATROT-BET-JOAB;Atroth-Beth-Joab;ΑΤΡΩΘ‐ΒΑΙΘ‐ΙΩΑΒ;Atrot-Bet-Joab;Atroth-Beth-Yoab;ATROT-BET-YOAB;Atrot-Bet-Gioab;アトロト･ベト･ヨアブ;아드롯-벳-요압;ATROTH-BETH-JOAB;ATROT-BET-JOAB;ATROT-BET-JOAB;Atrote-Bete-Joabe;ATROT-BET-JOAB;ATROT-BET-JOAB;ATROT-BET-JOAB
1200000464;Atroth-shophan;亚他罗朔凡;亞他羅朔凡;ATROT-ŠOFAN;ATROT-SJOFAN;Atroth-Schophan;ΑΤΡΩΘ‐ΣΟΦΑΝ;Atrot-Sofan;Atroth-Shophân;ATROT-SYOFAN;Atrot-Sofan;アトロト･ショファン;아드롯-소반;ATROTH-SOFAN;ATROT-SJOFAN;ATROT-SZOFAN;Atrote-Sofã;ATROT-SOFÁN;ATROT-SOFAN;ATROT-SOPAN
1200000465;Attai;亚泰;亞泰;ATTAI;ATTAJ;Attai;ΑΤΘΑΪ;Attai;Attaï;ATAI;Attai;アタイ;앗대;ATTAI;ATTAI;ATTAJ;Atai;ATAI;ATTAJ;ATAI
1200000466;Attalia;亚大利;亞大利;ATTALIE;ATTALIA;Attalia;ΑΤΤΑΛΕΙΑ;Attalia;Attalia;;Attalia;アタリア;아탈리아;ATTALIA;ATTALIA;ATTALIA;Atália;ATALIA;ATTALEIA;ATALIA
1200000467;Attitudes and Gestures;姿势和动作;姿勢和動作;GESTA A;KROPSLIGE UDTRYKSMIDLER;Gestik;ΣΤΑΣΕΙΣ ΚΑΙ ΧΕΙΡΟΝΟΜΙΕΣ;Asennot ja eleet;Attitudes et gestes;SIKAP DAN GERAK-ISYARAT;Atteggiamenti e gesti;姿勢と身ぶり;자세와 동작;HOUDINGEN EN GEBAREN;KROPPSSTILLINGER, GESTER, SYMBOLSKE HANDLINGER;GESTY I;Atitudes, posturas e gestos;POSTURAS Y ADEMANES;KROPPSSPRÅK;POSISYON AT KILOS NG KATAWAN
1200000468;Augustus;奥古斯都;奧古斯都;AUGUSTUS;AUGUSTUS;Augustus;ΑΥΓΟΥΣΤΟΣ;Augustus;Auguste;AGUSTUS;Augusto;アウグスツス;아우구스투스;AUGUSTUS;AUGUSTUS;AUGUST;Augusto;AUGUSTO;AUGUSTUS;AUGUSTO
1200000469;Augustus, Band of;奥古斯都部队;奧古斯都部隊;AUGUSTŮV ODDÍL;HÆRAFDELING, DEN KEJSERLIGE;Augustus, Abteilung des;ΜΟΝΑΔΑ ΤΟΥ ΑΥΓΟΥΣΤΟΥ;Keisarillinen joukko-osasto;Auguste (Troupe d’);AGUSTUS, PASUKAN;Coorte di Augusto;アウグスツスの部隊;아우구스투스 부대;AUGUSTUS, AFDELING VAN;AUGUSTUS’ HÆRAVDELING;AUGUSTA, ODDZIAŁ;Augusto, Destacamento de;AUGUSTO, BANDA DE;KEJSERLIGA TRUPPSTYRKAN;AUGUSTO, PANGKAT NI
1200000470;Aunt;叔母伯母;叔母伯母;TETA;TANTE;Tante;ΘΕΙΑ;Täti;Tante;BIBI;;おば;고모, 이모, 숙모;TANTE;TANTE;CIOTKA;Tia;;FASTER, MOSTER;TIYA
1200000471;Authorities;权柄;權柄;AUTORITY;MYNDIGHEDER;;ΕΞΟΥΣΙΕΣ;;;;;権威，権威者;권위, 권위자;AUTORITEITEN;MYNDIGHETER;;Autoridades;;MYNDIGHETER;AWTORIDAD
1200000472;Aven;亚闻;亞聞;AVEN;AVEN;Awen;ΑΒΕΝ;Aven;Avèn;AWEN;Aven;アベン;아웬;AVEN;AVEN;AWEN;Áven;AVEN;AVEN;AVEN
1200000473;Avenger of Blood;报血仇的人;報血仇的人;MSTITEL KRVE;BLODHÆVNER;Bluträcher;ΕΚΔΙΚΗΤΗΣ ΤΟΥ ΑΙΜΑΤΟΣ;Verenkostaja;Vengeur du sang;PENUNTUT-BALAS DARAH;Vendicatore del sangue;血の復しゅう者;피의 복수자;BLOEDWREKER;BLODHEVNER;MŚCICIEL KRWI;Vingador do sangue;VENGADOR DE LA SANGRE;BLODSHÄMNARE;TAGAPAGHIGANTI NG DUGO
1200000474;Avith;亚维;亞維;AVIT;AVIT;Awith;ΑΒΙΘ;Avit;Avith;AWIT;Avit;アビト;아윗;AVITH;AVIT;AWIT;Avite;AVIT;AVIT;AVIT
1200000475;Avrékh;阿卜雷克;阿卜雷克;AVRÉKH;AVRÉKH;Avréch;ΑΒΡΕΧ;Avrek;Avrek;AVREKH;Avrekh;アブレーク;아브레크;AVRÉKH;AVRÉKH;ABRECH;Avreque;AVREKJ;AVRÉKH;AVREK
1200000476;Avva;亚瓦;亞瓦;AVVA;AVVA;Awa;ΑΒΑ;Avva;Avva;AWA;Avva;アワ;아와;AVVA;AVVA;AWWA;Ava;AVÁ;AVA;AVA
1200000477;Avvim;亚卫人，亚卫;亞衛人，亞衛;AVVIM;AVVIM;Awim;ΑΒΙΜ;Avvilaiset;Avvim;AWIM;Avvim;アビム;아윔;AVVIM;AVVIM;AWWIM;Avim;AVIM;AVIM;AVIM
1200000478;Avvites;亚瓦人;亞瓦人;AVVANÉ;AVVITTER;Awiter;ΑΒΙΤΕΣ;Avvalaiset;Avvites;AWA, ORANG;Avviti;アワ人;아와 사람들;AVVIETEN;AVITTER;AWWICI;Avitas;AVEOS;AVITER;AVITA, MGA
1200000479;Awe;敬畏;敬畏;POSVÁTNÁ ÚCTA;ÆREFRYGT;Ehrfurcht;ΔΕΟΣ;;Redouter;HORMAT DAN TAKUT;;畏敬;외경심;ONTZAG;ÆREFRYKT;;Espanto reverente;;;SINDAK
1200000480;Ax;斧头;斧頭;SEKYRA;ØKSE;Axt, Beil;ΤΣΕΚΟΥΡΙ, ΠΕΛΕΚΥΣ;Kirves;Hache;KAPAK;Scure;斧;도끼;BIJL;ØKS;SIEKIERA, TOPÓR;Machado;HACHA;YXA;PALAKOL
1200000481;Axis Lords;同盟首领;同盟首領;VLÁDCI ALIANCE;FORBUNDSFYRSTER;Achsenherren;ΑΡΧΟΝΤΕΣ ΤΟΥ ΑΞΟΝΑ;Akseliruhtinaat;Seigneurs de l’Axe;PENGUASA KOTA POROS;Signori dell’asse;枢軸領主;추축 성주;ASVORSTEN;AKSEFYRSTER;WŁADCY SOJUSZNICZY;Senhores do eixo;SEÑORES DEL EJE;AXELFURSTAR;ALYANSA, MGA PANGINOON NG
1200000482;ʽAyin;阿因;阿因;ʼAJIN;‛AJIN;Ain;‛ΑΓΙΝ;Ajin;ʽAyin;AYIN;ʽAyin;アイン，II;아인, II;ʽAJIN;ʽAJIN;AJIN;Aine;ʽÁYIN;‛AJIN;AYIN
1200000483;Azaliah;亚萨利;亞薩利;ACALJÁŠ;AZALJA;Azalja;ΑΖΑΛΙΑΣ;Asalja;Atsalia;AZALIA;Azalia;アツァルヤ;아살랴;AZALJA;ASALJA;ACALIASZ;Azalias;AZALÍAS;ASALJA;AZALIAS
1200000484;Azaniah;亚散尼;亞散尼;AZANJÁŠ;AZANJA;Asanja;ΑΖΑΝΙΑΣ;Asanja;Azania;AZANIA;Azania;アザヌヤ;아사냐;AZANJA;ASANJA;AZANIASZ;Azanias;AZANÍAS;ASANJA;AZANIAS
